지표명,구분,단위,목표,실적,담당부서,비고
캡스톤디자인 참여 학생 수,정량,명,480,512,산학협력교육팀,1·2학기 중복 참여 27명 포함(중복 제거 시 485명)·전년 실적 466
캡스톤디자인 개설 과목 수,정량,과목,40,43,산학협력교육팀,전년 실적 41
현장실습 이수 학생 수,정량,명,300,231,현장실습지원센터,하반기 참여 기업 모집 부진·전년 실적 274
표준 현장실습학기제 참여 기업 수,정량,개사,90,84,현장실습지원센터,경기 침체로 기업 수용 인원 감소
가족회사 수(누적),정량,개사,420,455,기업협업센터,최근 1년 협업 실적 있는 활성 가족회사 약 180개사
ICC 공동 기술개발 과제 수,정량,건,12,9,기업협업센터,협약 지연 2건은 차년도 상반기 착수 예정
기술이전 계약 건수,정량,건,15,17,산학협력단 기술사업화팀,17건 중 2건은 계약서 미수령(구두 확정)·증빙 확보 전
기술이전 수입료,정량,백만 원,350,372,산학협력단 기술사업화팀,입금 기준·전년 실적 298
산학공동 교육과정 개발·개편,정량,과목,6,6,교육혁신센터,교무위원회 승인 완료
산업체 재직자 교육 이수자 수,정량,명,200,236,평생교육원,출석 80% 이수 기준 적용 전 수치(적용 시 약 190명 추정)·산식 확인 필요
학생 창업 기업 수,정량,개,8,5,창업지원단,2년 연속 미달·전년 실적 6
지역사회 연계 리빙랩 프로젝트 수,정량,건,5,6,지역협력센터,지자체 공동 3건 포함
참여 학생 만족도,정성,점(5점),4.2,4.31,사업단 기획팀,satisfaction.csv 참조·전년 4.18
기업 만족도,정성,점(5점),4.0,3.94,기업협업센터,응답 41개사(가족회사 455개사 중)·전년 4.05
산학협력 우수 사례 발굴,정성,건,3,4,사업단 기획팀,사례집 발간 예정·측정 방법 명시 필요
