세목,예산액,집행액,집행률,최근 집행 건,비고
인건비(참여연구원·전담인력),400000,268000,67.0,10.25 10월분 급여 6명,참여율 변동 없음
학생인건비,120000,61200,51.0,10.25 캡스톤 참여 학생 지원금 38명,2학기 캡스톤·성과발표회 지원금 11~12월 집중 예정
연구시설·장비비,90000,8500,9.4,06.12 3D 스캐너 소모품,스마트팩토리 실습 장비(추정 6천만 원) 구매 공고 미게시·계약 미체결
연구활동비-국내출장비,30000,24600,82.0,10.28 가족회사 방문 4명(부산),3분기까지 출장 잦음·4분기 예정 출장 5건 남음
연구활동비-회의비,25000,21750,87.0,10.30 운영위원회 석식 12명(카드),참석자 명단 미첨부 1건·9월 간담회 1건도 영수증만 있음
연구활동비-전문가활용비,40000,12000,30.0,09.19 기업 자문위원 수당 3명,심사·자문 수당 대부분 11~12월 행사에 몰림
연구활동비-홍보비,35000,31500,90.0,10.20 카드뉴스 제작 용역(2차) 9900,동일 업체 9900 용역 2건(9월·10월)·연말 성과 홍보물 미집행
교육프로그램운영비,200000,98000,49.0,10.15 산학협력 특강 강사료,성과발표회(11.20) 8500·창업 캠프 이월분 예정
기업지원비(가족회사 공동과제),160000,72000,45.0,10.08 공동과제 2차 중도금 3건,협약 지연 공동과제 2건 미착수·착수 시 약 40000 소요
간접비,100000,66700,66.7,10.31 10월분 간접비,직접비 집행 비례 자동 계상
합계,1200000,664250,55.4,,기준일 2026.10.31·연구비 시스템 잔액 대사 전
